county_fips,year,outage_event_uid,duration_hours,severe_weather_flag,outage_mean_customers,outage_max_customers
36005,2017,2017_70285,2.0,0,340.0,340.0
36005,2017,2017_70286,1.5,0,400.3333333333333,402.0
36005,2017,2017_70287,4.0,0,1274.625,1615.0
36005,2017,2017_70288,2.5,0,6013.3,7949.0
36005,2017,2017_70289,1.25,0,388.4,389.0
36005,2017,2017_70290,1.25,0,211.4,212.0
36005,2017,2017_70291,1.25,0,298.2,435.0
36005,2017,2017_70292,6.0,0,363.125,394.0
36005,2017,2017_70293,1.25,0,736.0,736.0
36005,2017,2017_70294,1.75,0,334.57142857142856,336.0
36005,2017,2017_70295,0.25,0,269.0,269.0
36005,2017,2017_70296,2.5,0,339.6,446.0
36005,2017,2017_70297,3.0,0,755.0,1543.0
36005,2017,2017_70298,3.5,0,456.2142857142857,477.0
36005,2017,2017_70299,1.0,0,401.5,402.0
36005,2017,2017_70300,2.25,0,218.66666666666663,219.0
36005,2017,2017_70301,1.75,0,523.1428571428571,524.0
36005,2017,2017_70302,3.5,0,360.8571428571428,382.0
36005,2017,2017_70303,0.5,0,1329.0,1329.0
36005,2017,2017_70304,0.75,0,329.6666666666667,489.0
36005,2017,2017_70305,3.25,0,476.53846153846155,488.0
36005,2017,2017_70306,4.0,0,237.875,249.0
36005,2017,2017_70307,2.25,0,755.6666666666666,756.0
36005,2017,2017_70308,0.75,0,212.0,212.0
36005,2017,2017_70309,2.0,0,330.75,331.0
36005,2017,2017_70310,2.0,0,678.625,682.0
36005,2017,2017_70311,1.0,0,470.25,609.0
36005,2017,2017_70312,12.75,0,412.078431372549,608.0
36005,2017,2017_70313,4.0,0,200.0,200.0
36005,2017,2017_70314,2.5,0,1564.9,1589.0
36005,2017,2017_New York-2,1.0,0,470.25,609.0
36005,2017,2017_New York-3,1.0,0,470.25,609.0
36005,2018,2018_89367,0.75,0,214.0,214.0
36005,2018,2018_89368,0.5,0,1098.0,1111.0
36005,2018,2018_89369,0.5,0,6807.0,13293.0
36005,2018,2018_89370,0.25,0,332.0,332.0
36005,2018,2018_89371,0.25,0,413.0,413.0
36005,2018,2018_89372,2.0,0,345.125,395.0
36005,2018,2018_89373,0.25,0,242.0,242.0
36005,2018,2018_89374,0.25,0,220.0,220.0
36005,2018,2018_89375,0.25,0,246.0,246.0
36005,2018,2018_89376,0.25,0,249.0,249.0
36005,2018,2018_89377,3.75,0,321.4,362.0
36005,2018,2018_89378,2.25,0,226.66666666666663,228.0
36005,2018,2018_89379,1.0,0,326.75,344.0
36005,2018,2018_89380,2.5,0,449.4,638.0
36005,2018,2018_89381,3.75,0,386.26666666666665,876.0
36005,2018,2018_89382,3.75,0,1084.8666666666666,1434.0
36005,2018,2018_89383,0.25,0,972.0,972.0
36005,2018,2018_89384,3.0,0,1001.9166666666666,1360.0
36005,2018,2018_89385,0.75,0,202.0,202.0
36005,2018,2018_89386,1.75,0,319.0,338.0
36005,2018,2018_89387,7.0,0,3790.035714285714,6789.0
36005,2018,2018_89388,0.25,0,6533.0,6533.0
36005,2018,2018_89389,4.25,0,6024.705882352941,6642.0
36005,2018,2018_89390,7.5,0,4328.1,4722.0
36005,2018,2018_89391,5.5,0,4152.681818181818,5199.0
36005,2018,2018_89392,2.75,0,3658.181818181818,3755.0
36005,2018,2018_89393,18.25,0,2724.5890410958905,3707.0
36005,2018,2018_89394,3.75,0,2680.5333333333333,2709.0
36005,2018,2018_89395,3.5,0,2445.714285714286,2503.0
36005,2018,2018_89396,22.0,0,1213.8863636363635,2357.0
36005,2018,2018_89397,1.25,0,1038.4,1049.0
36005,2018,2018_89398,0.25,0,960.0,960.0
36005,2018,2018_89399,121.75,0,403.3716632443531,1427.0
36005,2018,2018_89400,6.25,0,366.36,390.0
36005,2018,2018_89401,1.25,0,338.0,338.0
36005,2018,2018_89402,1.0,0,338.0,338.0
36005,2018,2018_89403,1.0,0,2176.0,2176.0
36005,2018,2018_89404,1.75,0,244.42857142857144,245.0
36005,2018,2018_89405,0.5,0,272.5,338.0
36005,2018,2018_89406,0.5,0,928.0,928.0
36005,2018,2018_89407,0.75,0,258.0,261.0
36005,2018,2018_89408,1.0,0,523.0,523.0
36005,2018,2018_89409,4.75,0,237.26315789473685,238.0
36005,2018,2018_89410,1.5,0,237.33333333333337,238.0
36005,2018,2018_89411,1.25,0,999.0,1295.0
36005,2018,2018_89412,0.25,0,625.0,625.0
36005,2018,2018_89413,3.5,0,227.5,230.0
36005,2018,2018_89414,1.75,0,1042.571428571429,1292.0
36005,2018,2018_89415,4.25,0,1013.5882352941176,1752.0
36005,2018,2018_89416,0.75,0,1112.3333333333333,1355.0
36005,2018,2018_89417,0.5,0,1627.0,1627.0
36005,2018,2018_89418,3.0,0,233.25,234.0
36005,2018,2018_89419,1.25,0,665.2,666.0
36005,2018,2018_89420,1.0,0,598.75,988.0
36005,2018,2018_89421,6.5,0,414.3076923076923,453.0
36005,2018,2018_89422,12.5,0,642.32,734.0
36005,2018,2018_89423,2.25,0,408.77777777777777,708.0
36005,2018,2018_89424,0.25,0,710.0,710.0
