county_fips,year,month,outage_occurrence,outage_duration_mean,severe_weather_count,severe_weather_share,outage_mean_customers_mean,outage_max_customers_mean,county_name,year_centered,days_in_month,log_days,log_outage_occurrence,log_outage_duration_mean,log_outage_mean_customers
36081,2016,10,9.0,2.388888888888889,0.0,0.0,1261.7153820487156,1458.7777777777778,Queens,-2.5,31,3.4339872044851463,2.302585092994046,1.2205021062771466,7.141019746241597
36081,2016,11,7.0,1.0,0.0,0.0,441.260544217687,445.14285714285717,Queens,-2.5,30,3.4011973816621555,2.0794415416798357,0.6931471805599453,6.091899174966385
36081,2016,12,13.0,4.3076923076923075,0.0,0.0,604.0433608137593,776.8461538461538,Queens,-2.5,31,3.4339872044851463,2.6390573296152584,1.6691571471357225,6.405300126229159
36081,2017,1,20.0,1.675,0.0,0.0,496.1852362914863,689.2,Queens,-1.5,31,3.4339872044851463,3.044522437723423,0.9839493803479699,6.2089626654939325
36081,2017,2,13.0,7.0576923076923075,0.0,0.0,476.8307192807193,762.5384615384615,Queens,-1.5,28,3.332204510175204,2.6390573296152584,2.0866272013407103,6.169256526003558
36081,2017,3,22.0,2.215909090909091,2.0,0.09090909090909091,567.3354978354978,670.5,Queens,-1.5,31,3.4339872044851463,3.1354942159291497,1.168110083165031,6.342711909550462
36081,2017,4,12.0,1.9166666666666667,0.0,0.0,728.2771125116714,888.6666666666666,Queens,-1.5,30,3.4011973816621555,2.5649493574615367,1.0704414117014134,6.592053786680887
36081,2017,5,11.0,1.4545454545454546,0.0,0.0,627.3432817182817,734.6363636363636,Queens,-1.5,31,3.4339872044851463,2.4849066497880004,0.8979415932059586,6.443086644062054
36081,2017,6,12.0,3.75,0.0,0.0,549.7439677290274,738.3333333333334,Queens,-1.5,30,3.4011973816621555,2.5649493574615367,1.55814461804655,6.311270032792742
36081,2017,7,17.0,2.2058823529411766,0.0,0.0,711.8898689771188,921.0,Queens,-1.5,31,3.4339872044851463,2.8903717578961645,1.1649873576129823,6.569326947021229
36081,2017,8,10.0,1.2,0.0,0.0,588.349304029304,649.4,Queens,-1.5,31,3.4339872044851463,2.3978952727983707,0.7884573603642702,6.379019053759527
36081,2017,9,12.0,0.875,0.0,0.0,1276.9049145299145,1345.0833333333333,Queens,-1.5,30,3.4011973816621555,2.5649493574615367,0.6286086594223741,7.152977230393251
36081,2017,10,10.0,1.575,0.0,0.0,726.5137426900585,885.9,Queens,-1.5,31,3.4339872044851463,2.3978952727983707,0.9458495341156995,6.589632889162841
36081,2017,11,15.0,2.4833333333333334,0.0,0.0,562.7843702496334,630.6666666666666,Queens,-1.5,30,3.4011973816621555,2.772588722239781,1.2479896897427103,6.33467185614185
36081,2017,12,21.0,1.0595238095238095,0.0,0.0,529.3164399092971,626.952380952381,Queens,-1.5,31,3.4339872044851463,3.091042453358316,0.7224747956544654,6.2734738848115255
36081,2018,1,33.0,2.7803030303030303,0.0,0.0,645.3939975749195,791.5151515151515,Queens,-0.5,31,3.4339872044851463,3.5263605246161616,1.3298041731651478,6.471409221233881
36081,2018,2,11.0,1.8863636363636365,0.0,0.0,534.0267148181587,588.3636363636364,Queens,-0.5,28,3.332204510175204,2.4849066497880004,1.0599974525403302,6.282316679888883
36081,2018,3,29.0,6.612068965517241,4.0,0.13793103448275862,2425.5390163602574,3313.689655172414,Queens,-0.5,31,3.4339872044851463,3.4011973816621555,2.029735009497595,7.794221247990782
36081,2018,4,9.0,2.5833333333333335,1.0,0.1111111111111111,648.1863734002623,876.7777777777778,Queens,-0.5,30,3.4011973816621555,2.302585092994046,1.2762934659055623,6.475719845586909
