state,county,tract_fips,county_fips,cvi_overall,cvi_baseline_all,cvi_baseline_health,cvi_baseline_social_econ,cvi_baseline_infra,cvi_baseline_env,cvi_climate_all,cvi_climate_health,cvi_climate_social_econ,cvi_climate_extreme_events,outage_rows_2014,outage_rows_2015,outage_rows_2016,outage_rows_2017,outage_rows_2018,outage_rows_2019,outage_rows_2020,outage_rows_2021,outage_rows_2022,outage_rows_2023,outage_unique_events_2014,outage_unique_events_2015,outage_unique_events_2016,outage_unique_events_2017,outage_unique_events_2018,outage_unique_events_2019,outage_unique_events_2020,outage_unique_events_2021,outage_unique_events_2022,outage_unique_events_2023,outage_rows_2014_2023,outage_unique_events_2014_2023
NY,Bronx,36005006900,36005,0.563326519644953,0.665996181759501,0.642695196054693,0.82900175197105,0.569340754836355,0.622947024175908,0.426433636825556,0.476742317034176,0.422296167210966,0.380262426231527,6,71,107,64,194,89,118,109,165,111,6,69,76,64,105,78,105,106,155,101,1034,865
NY,Bronx,36005007000,36005,0.557833315950603,0.661771531843837,0.614940939160159,0.790962879897177,0.56004032490039,0.681141983417621,0.419249028092958,0.463821451614495,0.414763823431755,0.379161809232625,6,71,107,64,194,89,118,109,165,111,6,69,76,64,105,78,105,106,155,101,1034,865
NY,Bronx,36005007100,36005,0.526505435619936,0.614422462040143,0.572313370240074,0.725130579121354,0.507489440575081,0.652756458224061,0.409282733726327,0.455637617488732,0.391336982483148,0.380873601207101,6,71,107,64,194,89,118,109,165,111,6,69,76,64,105,78,105,106,155,101,1034,865
NY,Bronx,36005007200,36005,0.551891546734681,0.645300686758842,0.565052508169629,0.78011524234344,0.534256535153921,0.701778461368375,0.427346026702467,0.473303824447331,0.420429687585125,0.388304568074945,6,71,107,64,194,89,118,109,165,111,6,69,76,64,105,78,105,106,155,101,1034,865
NY,Bronx,36005007300,36005,0.587254472104838,0.71693932859182,0.757904214685944,0.860031884154874,0.608002134342587,0.641819081183875,0.414341330122196,0.461680969740157,0.401817407052825,0.379525613573607,6,71,107,64,194,89,118,109,165,111,6,69,76,64,105,78,105,106,155,101,1034,865
NY,Bronx,36005007400,36005,0.556101313976626,0.656930074506625,0.630449359201339,0.742443002768289,0.623600894040442,0.63122704201643,0.421662966603295,0.451048000295357,0.408776214991142,0.405164684523385,6,71,107,64,194,89,118,109,165,111,6,69,76,64,105,78,105,106,155,101,1034,865
NY,Bronx,36005007500,36005,0.568345827841624,0.684204148973792,0.699326319891097,0.843289749671324,0.583123440071609,0.611077086261138,0.413868066332066,0.454468233355282,0.406873539409388,0.380262426231527,6,71,107,64,194,89,118,109,165,111,6,69,76,64,105,78,105,106,155,101,1034,865
NY,Bronx,36005007600,36005,0.584524348263407,0.696097360521159,0.658048943483181,0.779364400151467,0.655368467202613,0.691607631247375,0.435760331919737,0.508899468441354,0.419219718085234,0.379161809232625,6,71,107,64,194,89,118,109,165,111,6,69,76,64,105,78,105,106,155,101,1034,865
NY,Bronx,36005007700,36005,0.552868387646188,0.677806157047199,0.694723124147371,0.81445115970283,0.523073110500858,0.678977233837738,0.386284695111506,0.468641648133087,0.391276853222909,0.298935583978521,6,71,107,64,194,89,118,109,165,111,6,69,76,64,105,78,105,106,155,101,1034,865
NY,Bronx,36005007800,36005,0.580999868735563,0.70131445621196,0.658286424434544,0.84825145533174,0.586483144849703,0.712236800231854,0.420580418767034,0.45661259304488,0.425966854023598,0.379161809232625,6,71,107,64,194,89,118,109,165,111,6,69,76,64,105,78,105,106,155,101,1034,865
NY,Bronx,36005007900,36005,0.578735826714059,0.692162326516439,0.674998366156158,0.902331536937424,0.568488399708861,0.622831003263313,0.427500493644218,0.484517423810333,0.418458443548713,0.379525613573607,6,71,107,64,194,89,118,109,165,111,6,69,76,64,105,78,105,106,155,101,1034,865
NY,Bronx,36005008300,36005,0.573130155333573,0.684239004908919,0.680318738105703,0.799128683364715,0.552444835159456,0.705063763005801,0.424985022566446,0.47720379207912,0.418225662046612,0.379525613573607,6,71,107,64,194,89,118,109,165,111,6,69,76,64,105,78,105,106,155,101,1034,865
NY,Bronx,36005008400,36005,0.499041155909698,0.545057686365118,0.433839328839015,0.615563000931565,0.489447835677157,0.641380580012736,0.437685781969138,0.473403605273209,0.401130304847104,0.438523435787102,6,71,107,64,194,89,118,109,165,111,6,69,76,64,105,78,105,106,155,101,1034,865
NY,Bronx,36005008500,36005,0.566681218208874,0.677965522942186,0.658448492385653,0.825836561138059,0.564198584461768,0.663378453783264,0.418302145231124,0.454262709146466,0.421118112973298,0.379525613573607,6,71,107,64,194,89,118,109,165,111,6,69,76,64,105,78,105,106,155,101,1034,865
NY,Bronx,36005008600,36005,0.565718243804521,0.685514515995964,0.730159795368261,0.828925763061447,0.587833999774536,0.59513850577961,0.405989880882598,0.428261885674009,0.411157122716735,0.37855063425705,6,71,107,64,194,89,118,109,165,111,6,69,76,64,105,78,105,106,155,101,1034,865
NY,Bronx,36005008700,36005,0.570293891453147,0.686504828843036,0.684750072677617,0.849719793373673,0.574937913756836,0.636611535564016,0.415345974933295,0.446642730009658,0.419869581216619,0.379525613573607,6,71,107,64,194,89,118,109,165,111,6,69,76,64,105,78,105,106,155,101,1034,865
NY,Bronx,36005008900,36005,0.583940258823267,0.711378656871236,0.696138652049824,0.820714021587637,0.588307644137077,0.740354309710406,0.414022394759308,0.455728523315005,0.406813047389314,0.379525613573607,6,71,107,64,194,89,118,109,165,111,6,69,76,64,105,78,105,106,155,101,1034,865
NY,Bronx,36005009000,36005,0.621355736722077,0.713391366659234,0.697517025594777,0.84131016753145,0.625951521169957,0.688786752340752,0.498641563472535,0.458686952647338,0.443456029558643,0.593781708211624,6,71,107,64,194,89,118,109,165,111,6,69,76,64,105,78,105,106,155,101,1034,865
NY,Bronx,36005009200,36005,0.545241436568496,0.630612127428743,0.521498236433928,0.762965997825224,0.512408501105276,0.725575774350543,0.431413848754835,0.486698271916881,0.419238706272678,0.388304568074945,6,71,107,64,194,89,118,109,165,111,6,69,76,64,105,78,105,106,155,101,1034,865
NY,Bronx,36005009300,36005,0.622093354594061,0.707229499185168,0.687598742114513,0.809555981595596,0.588343449310677,0.743419823719885,0.508578495139253,0.469308560208365,0.488162122184125,0.568264803025269,6,71,107,64,194,89,118,109,165,111,6,69,76,64,105,78,105,106,155,101,1034,865
