event_id,state_event,Datetime Event Began,Datetime Restoration,Event Type,fips,state,county,start_time,duration,end_time,min_customers,max_customers,mean_customers,source_file,source_year,county_fips
New York-1,New York,2018-03-02 11:34:00,2018-03-02 11:34:00,Severe Weather,36005,New York,Bronx,2018-03-03 22:30:00,18.25,2018-03-04 16:45:00,2632.0,3707.0,2724.5890410958905,eaglei_outages_with_events_2018.csv,2018,36005
New York-1,New York,2018-03-02 11:34:00,2018-03-02 11:34:00,Severe Weather,36005,New York,Bronx,2018-03-04 17:00:00,3.75,2018-03-04 20:45:00,2525.0,2709.0,2680.5333333333333,eaglei_outages_with_events_2018.csv,2018,36005
New York-1,New York,2018-03-02 11:34:00,2018-03-02 11:34:00,Severe Weather,36005,New York,Bronx,2018-03-04 21:00:00,3.5,2018-03-05 00:30:00,2435.0,2503.0,2445.714285714286,eaglei_outages_with_events_2018.csv,2018,36005
New York-1,New York,2018-03-02 11:34:00,2018-03-02 11:34:00,Severe Weather,36047,New York,Kings,2018-03-02 20:15:00,0.75,2018-03-02 21:00:00,933.0,946.0,938.3333333333334,eaglei_outages_with_events_2018.csv,2018,36047
New York-1,New York,2018-03-02 11:34:00,2018-03-02 11:34:00,Severe Weather,36047,New York,Kings,2018-03-02 22:15:00,0.75,2018-03-02 23:00:00,207.0,219.0,214.0,eaglei_outages_with_events_2018.csv,2018,36047
New York-1,New York,2018-03-02 11:34:00,2018-03-02 11:34:00,Severe Weather,36047,New York,Kings,2018-03-03 00:15:00,0.5,2018-03-03 00:45:00,206.0,206.0,206.0,eaglei_outages_with_events_2018.csv,2018,36047
New York-1,New York,2018-03-02 11:34:00,2018-03-02 11:34:00,Severe Weather,36047,New York,Kings,2018-03-03 15:00:00,0.5,2018-03-03 15:30:00,228.0,230.0,229.0,eaglei_outages_with_events_2018.csv,2018,36047
New York-1,New York,2018-03-02 11:34:00,2018-03-02 11:34:00,Severe Weather,36047,New York,Kings,2018-03-03 16:00:00,0.25,2018-03-03 16:15:00,201.0,201.0,201.0,eaglei_outages_with_events_2018.csv,2018,36047
New York-1,New York,2018-03-02 11:34:00,2018-03-02 11:34:00,Severe Weather,36081,New York,Queens,2018-03-02 17:00:00,6.5,2018-03-02 23:30:00,911.0,7793.0,4532.961538461538,eaglei_outages_with_events_2018.csv,2018,36081
New York-1,New York,2018-03-02 11:34:00,2018-03-02 11:34:00,Severe Weather,36081,New York,Queens,2018-03-02 23:45:00,0.25,2018-03-03 00:00:00,7668.0,7668.0,7668.0,eaglei_outages_with_events_2018.csv,2018,36081
New York-1,New York,2018-03-02 11:34:00,2018-03-02 11:34:00,Severe Weather,36081,New York,Queens,2018-03-03 00:15:00,4.25,2018-03-03 04:30:00,7621.0,9384.0,8494.35294117647,eaglei_outages_with_events_2018.csv,2018,36081
New York-1,New York,2018-03-02 11:34:00,2018-03-02 11:34:00,Severe Weather,36081,New York,Queens,2018-03-03 06:00:00,7.5,2018-03-03 13:30:00,6059.0,8175.0,7146.866666666667,eaglei_outages_with_events_2018.csv,2018,36081
New York-1,New York,2018-03-02 11:34:00,2018-03-02 11:34:00,Severe Weather,36081,New York,Queens,2018-03-03 13:45:00,5.5,2018-03-03 19:15:00,5407.0,7132.0,6182.772727272727,eaglei_outages_with_events_2018.csv,2018,36081
New York-1,New York,2018-03-02 11:34:00,2018-03-02 11:34:00,Severe Weather,36081,New York,Queens,2018-03-03 19:30:00,2.75,2018-03-03 22:15:00,5411.0,6333.0,5714.727272727273,eaglei_outages_with_events_2018.csv,2018,36081
New York-1,New York,2018-03-02 11:34:00,2018-03-02 11:34:00,Severe Weather,36081,New York,Queens,2018-03-03 22:30:00,18.25,2018-03-04 16:45:00,1389.0,4790.0,2818.4520547945203,eaglei_outages_with_events_2018.csv,2018,36081
New York-1,New York,2018-03-02 11:34:00,2018-03-02 11:34:00,Severe Weather,36081,New York,Queens,2018-03-04 17:00:00,3.75,2018-03-04 20:45:00,1211.0,2222.0,1670.2,eaglei_outages_with_events_2018.csv,2018,36081
New York-1,New York,2018-03-02 11:34:00,2018-03-02 11:34:00,Severe Weather,36081,New York,Queens,2018-03-04 21:00:00,3.5,2018-03-05 00:30:00,955.0,1153.0,1014.2857142857144,eaglei_outages_with_events_2018.csv,2018,36081
New York-2,New York,2018-04-04 16:42:00,2018-04-07 06:22:00,Severe Weather,36005,New York,Bronx,2018-04-05 19:15:00,1.0,2018-04-05 20:15:00,2176.0,2176.0,2176.0,eaglei_outages_with_events_2018.csv,2018,36005
New York-2,New York,2018-04-04 16:42:00,2018-04-07 06:22:00,Severe Weather,36081,New York,Queens,2018-04-04 22:15:00,3.25,2018-04-05 01:30:00,340.0,854.0,555.8461538461538,eaglei_outages_with_events_2018.csv,2018,36081
New York-2,New York,2018-04-04 16:42:00,2018-04-07 06:22:00,Severe Weather,36081,New York,Queens,2018-04-09 13:15:00,0.5,2018-04-09 13:45:00,1014.0,1017.0,1015.5,eaglei_outages_with_events_2018.csv,2018,36081
New York-4,New York,2018-05-15 17:15:00,2018-05-15 17:15:00,Severe Weather,36005,New York,Bronx,2018-05-16 05:15:00,3.5,2018-05-16 08:45:00,226.0,230.0,227.5,eaglei_outages_with_events_2018.csv,2018,36005
New York-4,New York,2018-05-15 17:15:00,2018-05-15 17:15:00,Severe Weather,36047,New York,Kings,2018-05-17 06:15:00,0.75,2018-05-17 07:00:00,1322.0,1532.0,1392.0,eaglei_outages_with_events_2018.csv,2018,36047
New York-4,New York,2018-05-15 17:15:00,2018-05-15 17:15:00,Severe Weather,36047,New York,Kings,2018-05-17 09:30:00,0.75,2018-05-17 10:15:00,222.0,222.0,222.0,eaglei_outages_with_events_2018.csv,2018,36047
New York-4,New York,2018-05-15 17:15:00,2018-05-15 17:15:00,Severe Weather,36047,New York,Kings,2018-05-18 11:45:00,0.25,2018-05-18 12:00:00,220.0,220.0,220.0,eaglei_outages_with_events_2018.csv,2018,36047
New York-4,New York,2018-05-15 17:15:00,2018-05-15 17:15:00,Severe Weather,36081,New York,Queens,2018-05-15 21:30:00,3.0,2018-05-16 00:30:00,512.0,1358.0,1112.5833333333333,eaglei_outages_with_events_2018.csv,2018,36081
New York-4,New York,2018-05-15 17:15:00,2018-05-15 17:15:00,Severe Weather,36081,New York,Queens,2018-05-16 01:15:00,0.5,2018-05-16 01:45:00,200.0,203.0,201.5,eaglei_outages_with_events_2018.csv,2018,36081
New York-4,New York,2018-05-15 17:15:00,2018-05-15 17:15:00,Severe Weather,36081,New York,Queens,2018-05-16 03:30:00,0.5,2018-05-16 04:00:00,439.0,441.0,440.0,eaglei_outages_with_events_2018.csv,2018,36081
New York-4,New York,2018-05-15 17:15:00,2018-05-15 17:15:00,Severe Weather,36081,New York,Queens,2018-05-18 06:00:00,1.25,2018-05-18 07:15:00,455.0,456.0,455.2,eaglei_outages_with_events_2018.csv,2018,36081
New York-4,New York,2018-05-15 17:15:00,2018-05-15 17:15:00,Severe Weather,36081,New York,Queens,2018-05-18 13:30:00,1.5,2018-05-18 15:00:00,458.0,892.0,697.5,eaglei_outages_with_events_2018.csv,2018,36081
New York-5,New York,2018-03-02 07:00:00,2018-03-02 07:00:00,Severe Weather,36005,New York,Bronx,2018-03-02 16:15:00,7.0,2018-03-02 23:15:00,1331.0,6789.0,3790.035714285714,eaglei_outages_with_events_2018.csv,2018,36005
New York-5,New York,2018-03-02 07:00:00,2018-03-02 07:00:00,Severe Weather,36005,New York,Bronx,2018-03-02 23:45:00,0.25,2018-03-03 00:00:00,6533.0,6533.0,6533.0,eaglei_outages_with_events_2018.csv,2018,36005
New York-5,New York,2018-03-02 07:00:00,2018-03-02 07:00:00,Severe Weather,36005,New York,Bronx,2018-03-03 00:15:00,4.25,2018-03-03 04:30:00,4228.0,6642.0,6024.705882352941,eaglei_outages_with_events_2018.csv,2018,36005
New York-5,New York,2018-03-02 07:00:00,2018-03-02 07:00:00,Severe Weather,36005,New York,Bronx,2018-03-03 06:00:00,7.5,2018-03-03 13:30:00,4252.0,4722.0,4328.1,eaglei_outages_with_events_2018.csv,2018,36005
New York-5,New York,2018-03-02 07:00:00,2018-03-02 07:00:00,Severe Weather,36005,New York,Bronx,2018-03-03 13:45:00,5.5,2018-03-03 19:15:00,3900.0,5199.0,4152.681818181818,eaglei_outages_with_events_2018.csv,2018,36005
New York-5,New York,2018-03-02 07:00:00,2018-03-02 07:00:00,Severe Weather,36005,New York,Bronx,2018-03-03 19:30:00,2.75,2018-03-03 22:15:00,3605.0,3755.0,3658.181818181818,eaglei_outages_with_events_2018.csv,2018,36005
New York-5,New York,2018-03-02 07:00:00,2018-03-02 07:00:00,Severe Weather,36005,New York,Bronx,2018-03-03 22:30:00,18.25,2018-03-04 16:45:00,2632.0,3707.0,2724.5890410958905,eaglei_outages_with_events_2018.csv,2018,36005
New York-5,New York,2018-03-02 07:00:00,2018-03-02 07:00:00,Severe Weather,36005,New York,Bronx,2018-03-04 17:00:00,3.75,2018-03-04 20:45:00,2525.0,2709.0,2680.5333333333333,eaglei_outages_with_events_2018.csv,2018,36005
New York-5,New York,2018-03-02 07:00:00,2018-03-02 07:00:00,Severe Weather,36005,New York,Bronx,2018-03-04 21:00:00,3.5,2018-03-05 00:30:00,2435.0,2503.0,2445.714285714286,eaglei_outages_with_events_2018.csv,2018,36005
New York-5,New York,2018-03-02 07:00:00,2018-03-02 07:00:00,Severe Weather,36047,New York,Kings,2018-03-02 20:15:00,0.75,2018-03-02 21:00:00,933.0,946.0,938.3333333333334,eaglei_outages_with_events_2018.csv,2018,36047
New York-5,New York,2018-03-02 07:00:00,2018-03-02 07:00:00,Severe Weather,36047,New York,Kings,2018-03-02 22:15:00,0.75,2018-03-02 23:00:00,207.0,219.0,214.0,eaglei_outages_with_events_2018.csv,2018,36047
New York-5,New York,2018-03-02 07:00:00,2018-03-02 07:00:00,Severe Weather,36047,New York,Kings,2018-03-03 00:15:00,0.5,2018-03-03 00:45:00,206.0,206.0,206.0,eaglei_outages_with_events_2018.csv,2018,36047
New York-5,New York,2018-03-02 07:00:00,2018-03-02 07:00:00,Severe Weather,36047,New York,Kings,2018-03-03 15:00:00,0.5,2018-03-03 15:30:00,228.0,230.0,229.0,eaglei_outages_with_events_2018.csv,2018,36047
New York-5,New York,2018-03-02 07:00:00,2018-03-02 07:00:00,Severe Weather,36047,New York,Kings,2018-03-03 16:00:00,0.25,2018-03-03 16:15:00,201.0,201.0,201.0,eaglei_outages_with_events_2018.csv,2018,36047
New York-5,New York,2018-03-02 07:00:00,2018-03-02 07:00:00,Severe Weather,36081,New York,Queens,2018-03-02 17:00:00,6.5,2018-03-02 23:30:00,911.0,7793.0,4532.961538461538,eaglei_outages_with_events_2018.csv,2018,36081
New York-5,New York,2018-03-02 07:00:00,2018-03-02 07:00:00,Severe Weather,36081,New York,Queens,2018-03-02 23:45:00,0.25,2018-03-03 00:00:00,7668.0,7668.0,7668.0,eaglei_outages_with_events_2018.csv,2018,36081
New York-5,New York,2018-03-02 07:00:00,2018-03-02 07:00:00,Severe Weather,36081,New York,Queens,2018-03-03 00:15:00,4.25,2018-03-03 04:30:00,7621.0,9384.0,8494.35294117647,eaglei_outages_with_events_2018.csv,2018,36081
New York-5,New York,2018-03-02 07:00:00,2018-03-02 07:00:00,Severe Weather,36081,New York,Queens,2018-03-03 06:00:00,7.5,2018-03-03 13:30:00,6059.0,8175.0,7146.866666666667,eaglei_outages_with_events_2018.csv,2018,36081
New York-5,New York,2018-03-02 07:00:00,2018-03-02 07:00:00,Severe Weather,36081,New York,Queens,2018-03-03 13:45:00,5.5,2018-03-03 19:15:00,5407.0,7132.0,6182.772727272727,eaglei_outages_with_events_2018.csv,2018,36081
New York-5,New York,2018-03-02 07:00:00,2018-03-02 07:00:00,Severe Weather,36081,New York,Queens,2018-03-03 19:30:00,2.75,2018-03-03 22:15:00,5411.0,6333.0,5714.727272727273,eaglei_outages_with_events_2018.csv,2018,36081
New York-5,New York,2018-03-02 07:00:00,2018-03-02 07:00:00,Severe Weather,36081,New York,Queens,2018-03-03 22:30:00,18.25,2018-03-04 16:45:00,1389.0,4790.0,2818.4520547945203,eaglei_outages_with_events_2018.csv,2018,36081
New York-5,New York,2018-03-02 07:00:00,2018-03-02 07:00:00,Severe Weather,36081,New York,Queens,2018-03-04 17:00:00,3.75,2018-03-04 20:45:00,1211.0,2222.0,1670.2,eaglei_outages_with_events_2018.csv,2018,36081
New York-5,New York,2018-03-02 07:00:00,2018-03-02 07:00:00,Severe Weather,36081,New York,Queens,2018-03-04 21:00:00,3.5,2018-03-05 00:30:00,955.0,1153.0,1014.2857142857144,eaglei_outages_with_events_2018.csv,2018,36081
New York-5,New York,2018-03-02 07:00:00,2018-03-02 07:00:00,Severe Weather,36005,New York,Bronx,2018-03-02 16:15:00,7.0,2018-03-02 23:15:00,1331.0,6789.0,3790.035714285714,eaglei_outages_with_events_2018.csv,2018,36005
New York-5,New York,2018-03-02 07:00:00,2018-03-02 07:00:00,Severe Weather,36005,New York,Bronx,2018-03-02 23:45:00,0.25,2018-03-03 00:00:00,6533.0,6533.0,6533.0,eaglei_outages_with_events_2018.csv,2018,36005
New York-5,New York,2018-03-02 07:00:00,2018-03-02 07:00:00,Severe Weather,36005,New York,Bronx,2018-03-03 00:15:00,4.25,2018-03-03 04:30:00,4228.0,6642.0,6024.705882352941,eaglei_outages_with_events_2018.csv,2018,36005
New York-5,New York,2018-03-02 07:00:00,2018-03-02 07:00:00,Severe Weather,36005,New York,Bronx,2018-03-03 06:00:00,7.5,2018-03-03 13:30:00,4252.0,4722.0,4328.1,eaglei_outages_with_events_2018.csv,2018,36005
New York-5,New York,2018-03-02 07:00:00,2018-03-02 07:00:00,Severe Weather,36005,New York,Bronx,2018-03-03 13:45:00,5.5,2018-03-03 19:15:00,3900.0,5199.0,4152.681818181818,eaglei_outages_with_events_2018.csv,2018,36005
New York-5,New York,2018-03-02 07:00:00,2018-03-02 07:00:00,Severe Weather,36005,New York,Bronx,2018-03-03 19:30:00,2.75,2018-03-03 22:15:00,3605.0,3755.0,3658.181818181818,eaglei_outages_with_events_2018.csv,2018,36005
New York-5,New York,2018-03-02 07:00:00,2018-03-02 07:00:00,Severe Weather,36005,New York,Bronx,2018-03-03 22:30:00,18.25,2018-03-04 16:45:00,2632.0,3707.0,2724.5890410958905,eaglei_outages_with_events_2018.csv,2018,36005
New York-5,New York,2018-03-02 07:00:00,2018-03-02 07:00:00,Severe Weather,36005,New York,Bronx,2018-03-04 17:00:00,3.75,2018-03-04 20:45:00,2525.0,2709.0,2680.5333333333333,eaglei_outages_with_events_2018.csv,2018,36005
New York-5,New York,2018-03-02 07:00:00,2018-03-02 07:00:00,Severe Weather,36005,New York,Bronx,2018-03-04 21:00:00,3.5,2018-03-05 00:30:00,2435.0,2503.0,2445.714285714286,eaglei_outages_with_events_2018.csv,2018,36005
New York-5,New York,2018-03-02 07:00:00,2018-03-02 07:00:00,Severe Weather,36047,New York,Kings,2018-03-02 20:15:00,0.75,2018-03-02 21:00:00,933.0,946.0,938.3333333333334,eaglei_outages_with_events_2018.csv,2018,36047
New York-5,New York,2018-03-02 07:00:00,2018-03-02 07:00:00,Severe Weather,36047,New York,Kings,2018-03-02 22:15:00,0.75,2018-03-02 23:00:00,207.0,219.0,214.0,eaglei_outages_with_events_2018.csv,2018,36047
New York-5,New York,2018-03-02 07:00:00,2018-03-02 07:00:00,Severe Weather,36047,New York,Kings,2018-03-03 00:15:00,0.5,2018-03-03 00:45:00,206.0,206.0,206.0,eaglei_outages_with_events_2018.csv,2018,36047
New York-5,New York,2018-03-02 07:00:00,2018-03-02 07:00:00,Severe Weather,36047,New York,Kings,2018-03-03 15:00:00,0.5,2018-03-03 15:30:00,228.0,230.0,229.0,eaglei_outages_with_events_2018.csv,2018,36047
New York-5,New York,2018-03-02 07:00:00,2018-03-02 07:00:00,Severe Weather,36047,New York,Kings,2018-03-03 16:00:00,0.25,2018-03-03 16:15:00,201.0,201.0,201.0,eaglei_outages_with_events_2018.csv,2018,36047
New York-5,New York,2018-03-02 07:00:00,2018-03-02 07:00:00,Severe Weather,36081,New York,Queens,2018-03-02 17:00:00,6.5,2018-03-02 23:30:00,911.0,7793.0,4532.961538461538,eaglei_outages_with_events_2018.csv,2018,36081
New York-5,New York,2018-03-02 07:00:00,2018-03-02 07:00:00,Severe Weather,36081,New York,Queens,2018-03-02 23:45:00,0.25,2018-03-03 00:00:00,7668.0,7668.0,7668.0,eaglei_outages_with_events_2018.csv,2018,36081
New York-5,New York,2018-03-02 07:00:00,2018-03-02 07:00:00,Severe Weather,36081,New York,Queens,2018-03-03 00:15:00,4.25,2018-03-03 04:30:00,7621.0,9384.0,8494.35294117647,eaglei_outages_with_events_2018.csv,2018,36081
New York-5,New York,2018-03-02 07:00:00,2018-03-02 07:00:00,Severe Weather,36081,New York,Queens,2018-03-03 06:00:00,7.5,2018-03-03 13:30:00,6059.0,8175.0,7146.866666666667,eaglei_outages_with_events_2018.csv,2018,36081
New York-5,New York,2018-03-02 07:00:00,2018-03-02 07:00:00,Severe Weather,36081,New York,Queens,2018-03-03 13:45:00,5.5,2018-03-03 19:15:00,5407.0,7132.0,6182.772727272727,eaglei_outages_with_events_2018.csv,2018,36081
New York-5,New York,2018-03-02 07:00:00,2018-03-02 07:00:00,Severe Weather,36081,New York,Queens,2018-03-03 19:30:00,2.75,2018-03-03 22:15:00,5411.0,6333.0,5714.727272727273,eaglei_outages_with_events_2018.csv,2018,36081
New York-5,New York,2018-03-02 07:00:00,2018-03-02 07:00:00,Severe Weather,36081,New York,Queens,2018-03-03 22:30:00,18.25,2018-03-04 16:45:00,1389.0,4790.0,2818.4520547945203,eaglei_outages_with_events_2018.csv,2018,36081
New York-5,New York,2018-03-02 07:00:00,2018-03-02 07:00:00,Severe Weather,36081,New York,Queens,2018-03-04 17:00:00,3.75,2018-03-04 20:45:00,1211.0,2222.0,1670.2,eaglei_outages_with_events_2018.csv,2018,36081
New York-5,New York,2018-03-02 07:00:00,2018-03-02 07:00:00,Severe Weather,36081,New York,Queens,2018-03-04 21:00:00,3.5,2018-03-05 00:30:00,955.0,1153.0,1014.2857142857144,eaglei_outages_with_events_2018.csv,2018,36081
New York-5,New York,2018-03-02 07:00:00,2018-03-02 07:00:00,Severe Weather,36005,New York,Bronx,2018-03-02 16:15:00,7.0,2018-03-02 23:15:00,1331.0,6789.0,3790.035714285714,eaglei_outages_with_events_2018.csv,2018,36005
New York-5,New York,2018-03-02 07:00:00,2018-03-02 07:00:00,Severe Weather,36005,New York,Bronx,2018-03-02 23:45:00,0.25,2018-03-03 00:00:00,6533.0,6533.0,6533.0,eaglei_outages_with_events_2018.csv,2018,36005
