year,month,obs_count,exp_count_days_adjusted,std_resid,resid_p,resid_q,high_month_sig_05,high_month_sig_01
2016,7,24000,25094.5,-6.909179765224916,4.8746393091140944e-12,4.8746393091140944e-12,False,False
2016,8,32200,25094.5,44.854432911654314,0.0,0.0,True,True
2016,9,77368,24284.999999999996,340.632753566273,0.0,0.0,True,True
2016,10,11492,25094.5,-85.86762700454264,0.0,0.0,False,False
2016,11,7549,24284.999999999996,-107.39464166842761,0.0,0.0,False,False
2016,12,15694,25094.5,-59.341931825488196,0.0,0.0,False,False
2017,1,28131,19280.301369863013,63.74125999455038,0.0,0.0,True,True
2017,2,16090,17414.465753424658,-10.036577800893815,1.0526285970193576e-23,1.263154316423229e-23,False,False
2017,3,36381,19280.301369863013,123.15638832853837,0.0,0.0,True,True
2017,4,16070,18658.35616438356,-18.949045851397884,4.4966258163183e-80,5.9955010884244e-80,False,False
2017,5,14520,19280.301369863013,-34.282899005923596,1.4112837217364646e-257,2.116925582604697e-257,False,False
2017,6,18999,18658.35616438356,2.49381277156239,0.012637918670071855,0.012637918670071855,True,False
2017,7,17938,19280.301369863013,-9.667031291308943,4.1627832788640073e-22,4.541218122397099e-22,False,False
2017,8,13249,19280.301369863013,-43.436429686226475,0.0,0.0,False,False
2017,9,10028,18658.35616438356,-63.18180508660648,0.0,0.0,False,False
2017,10,13706,19280.301369863013,-40.145191668210416,0.0,0.0,False,False
2017,11,12907,18658.35616438356,-42.104990482474484,0.0,0.0,False,False
2017,12,28991,19280.301369863013,69.93483700876004,0.0,0.0,True,True
2018,1,184784,56672.161643835614,538.1512756531025,0.0,0.0,True,True
2018,2,32830,51187.75890410959,-81.1402990525897,0.0,0.0,False,False
2018,3,241848,56672.161643835614,777.8564019545004,0.0,0.0,True,True
2018,4,31034,54844.02739726027,-101.67056232230502,0.0,0.0,False,False
2018,5,39980,56672.161643835614,-70.11770494670832,0.0,0.0,False,False
2018,6,27260,54844.02739726027,-117.78581896617307,0.0,0.0,False,False
2018,7,30154,56672.161643835614,-111.39316006793246,0.0,0.0,False,False
