tract_fips,n_years,occ_spearman_rho,occ_spearman_p,dur_spearman_rho,dur_spearman_p,occ_spearman_q,dur_spearman_q,occ_sig_05,occ_sig_01,dur_sig_05,dur_sig_01
36047100800,10,0.6213377552190162,0.05517518255110524,-0.17752507291971892,0.6236726920372664,0.06362755094191284,0.8099610887157981,False,False,False,False
36047101000,10,0.6213377552190162,0.05517518255110524,-0.17752507291971892,0.6236726920372664,0.06362755094191284,0.8099610887157981,False,False,False,False
36047101200,10,0.6213377552190162,0.05517518255110524,-0.17752507291971892,0.6236726920372664,0.06362755094191284,0.8099610887157981,False,False,False,False
36047101400,10,0.6213377552190162,0.05517518255110524,-0.17752507291971892,0.6236726920372664,0.06362755094191284,0.8099610887157981,False,False,False,False
36047101600,10,0.6213377552190162,0.05517518255110524,-0.17752507291971892,0.6236726920372664,0.06362755094191284,0.8099610887157981,False,False,False,False
36047101800,10,0.6213377552190162,0.05517518255110524,-0.17752507291971892,0.6236726920372664,0.06362755094191284,0.8099610887157981,False,False,False,False
36047102000,10,0.6213377552190162,0.05517518255110524,-0.17752507291971892,0.6236726920372664,0.06362755094191284,0.8099610887157981,False,False,False,False
36047102200,10,0.6213377552190162,0.05517518255110524,-0.17752507291971892,0.6236726920372664,0.06362755094191284,0.8099610887157981,False,False,False,False
36047102400,10,0.6213377552190162,0.05517518255110524,-0.17752507291971892,0.6236726920372664,0.06362755094191284,0.8099610887157981,False,False,False,False
36047102600,10,0.6213377552190162,0.05517518255110524,-0.17752507291971892,0.6236726920372664,0.06362755094191284,0.8099610887157981,False,False,False,False
36047102800,10,0.6213377552190162,0.05517518255110524,-0.17752507291971892,0.6236726920372664,0.06362755094191284,0.8099610887157981,False,False,False,False
36047103400,10,0.6213377552190162,0.05517518255110524,-0.17752507291971892,0.6236726920372664,0.06362755094191284,0.8099610887157981,False,False,False,False
36047105801,10,0.6213377552190162,0.05517518255110524,-0.17752507291971892,0.6236726920372664,0.06362755094191284,0.8099610887157981,False,False,False,False
36047105804,10,0.6213377552190162,0.05517518255110524,-0.17752507291971892,0.6236726920372664,0.06362755094191284,0.8099610887157981,False,False,False,False
36047107000,10,0.6213377552190162,0.05517518255110524,-0.17752507291971892,0.6236726920372664,0.06362755094191284,0.8099610887157981,False,False,False,False
36047107800,10,0.6213377552190162,0.05517518255110524,-0.17752507291971892,0.6236726920372664,0.06362755094191284,0.8099610887157981,False,False,False,False
36047109800,10,0.6213377552190162,0.05517518255110524,-0.17752507291971892,0.6236726920372664,0.06362755094191284,0.8099610887157981,False,False,False,False
36047110400,10,0.6213377552190162,0.05517518255110524,-0.17752507291971892,0.6236726920372664,0.06362755094191284,0.8099610887157981,False,False,False,False
36047110600,10,0.6213377552190162,0.05517518255110524,-0.17752507291971892,0.6236726920372664,0.06362755094191284,0.8099610887157981,False,False,False,False
