tract_fips,1,2,3,4,5,6,7,8,9,10,11,12
36005021602,125,99,205,110,57,99,176,107,97,53,43,70
36005021700,125,99,205,110,57,99,176,107,97,53,43,70
36005021800,125,99,205,110,57,99,176,107,97,53,43,70
36005021900,125,99,205,110,57,99,176,107,97,53,43,70
36005022000,125,99,205,110,57,99,176,107,97,53,43,70
36005022101,125,99,205,110,57,99,176,107,97,53,43,70
36005022102,125,99,205,110,57,99,176,107,97,53,43,70
36005022200,125,99,205,110,57,99,176,107,97,53,43,70
36005022300,125,99,205,110,57,99,176,107,97,53,43,70
36005022401,125,99,205,110,57,99,176,107,97,53,43,70
36005022403,125,99,205,110,57,99,176,107,97,53,43,70
36005022404,125,99,205,110,57,99,176,107,97,53,43,70
36005022500,125,99,205,110,57,99,176,107,97,53,43,70
36005022701,125,99,205,110,57,99,176,107,97,53,43,70
36005022702,125,99,205,110,57,99,176,107,97,53,43,70
36005022703,125,99,205,110,57,99,176,107,97,53,43,70
36005022800,125,99,205,110,57,99,176,107,97,53,43,70
36005022901,125,99,205,110,57,99,176,107,97,53,43,70
36005022902,125,99,205,110,57,99,176,107,97,53,43,70
36005023000,125,99,205,110,57,99,176,107,97,53,43,70
36005023100,125,99,205,110,57,99,176,107,97,53,43,70
36005023200,125,99,205,110,57,99,176,107,97,53,43,70
36005023301,125,99,205,110,57,99,176,107,97,53,43,70
36005023302,125,99,205,110,57,99,176,107,97,53,43,70
36005023501,125,99,205,110,57,99,176,107,97,53,43,70
36005023502,125,99,205,110,57,99,176,107,97,53,43,70
36005023600,125,99,205,110,57,99,176,107,97,53,43,70
36005023702,125,99,205,110,57,99,176,107,97,53,43,70
36005023703,125,99,205,110,57,99,176,107,97,53,43,70
36005023704,125,99,205,110,57,99,176,107,97,53,43,70
36005023800,125,99,205,110,57,99,176,107,97,53,43,70
36005023900,125,99,205,110,57,99,176,107,97,53,43,70
36005024000,125,99,205,110,57,99,176,107,97,53,43,70
36005024100,125,99,205,110,57,99,176,107,97,53,43,70
36005024300,125,99,205,110,57,99,176,107,97,53,43,70
36005024400,125,99,205,110,57,99,176,107,97,53,43,70
36005024501,125,99,205,110,57,99,176,107,97,53,43,70
36005024502,125,99,205,110,57,99,176,107,97,53,43,70
36005024600,125,99,205,110,57,99,176,107,97,53,43,70
36005024700,125,99,205,110,57,99,176,107,97,53,43,70
36005024800,125,99,205,110,57,99,176,107,97,53,43,70
36005024900,125,99,205,110,57,99,176,107,97,53,43,70
36005025000,125,99,205,110,57,99,176,107,97,53,43,70
36005025100,125,99,205,110,57,99,176,107,97,53,43,70
36005025200,125,99,205,110,57,99,176,107,97,53,43,70
36005025300,125,99,205,110,57,99,176,107,97,53,43,70
36005025400,125,99,205,110,57,99,176,107,97,53,43,70
36005025500,125,99,205,110,57,99,176,107,97,53,43,70
36005025600,125,99,205,110,57,99,176,107,97,53,43,70
36005025700,125,99,205,110,57,99,176,107,97,53,43,70
36005026100,125,99,205,110,57,99,176,107,97,53,43,70
36005026300,125,99,205,110,57,99,176,107,97,53,43,70
36005026400,125,99,205,110,57,99,176,107,97,53,43,70
36005026500,125,99,205,110,57,99,176,107,97,53,43,70
36005026601,125,99,205,110,57,99,176,107,97,53,43,70
36005026602,125,99,205,110,57,99,176,107,97,53,43,70
36005026701,125,99,205,110,57,99,176,107,97,53,43,70
36005026702,125,99,205,110,57,99,176,107,97,53,43,70
36005026900,125,99,205,110,57,99,176,107,97,53,43,70
36005027300,125,99,205,110,57,99,176,107,97,53,43,70
36005027401,125,99,205,110,57,99,176,107,97,53,43,70
36005027402,125,99,205,110,57,99,176,107,97,53,43,70
36005027600,125,99,205,110,57,99,176,107,97,53,43,70
36005027700,125,99,205,110,57,99,176,107,97,53,43,70
36005027900,125,99,205,110,57,99,176,107,97,53,43,70
36005028100,125,99,205,110,57,99,176,107,97,53,43,70
36005028300,125,99,205,110,57,99,176,107,97,53,43,70
36005028400,125,99,205,110,57,99,176,107,97,53,43,70
36005028500,125,99,205,110,57,99,176,107,97,53,43,70
36005028600,125,99,205,110,57,99,176,107,97,53,43,70
36005028700,125,99,205,110,57,99,176,107,97,53,43,70
36005028800,125,99,205,110,57,99,176,107,97,53,43,70
36005028900,125,99,205,110,57,99,176,107,97,53,43,70
36005029301,125,99,205,110,57,99,176,107,97,53,43,70
36005029302,125,99,205,110,57,99,176,107,97,53,43,70
36005029500,125,99,205,110,57,99,176,107,97,53,43,70
36005029600,125,99,205,110,57,99,176,107,97,53,43,70
36005029700,125,99,205,110,57,99,176,107,97,53,43,70
36005030000,125,99,205,110,57,99,176,107,97,53,43,70
36005030100,125,99,205,110,57,99,176,107,97,53,43,70
36005030200,125,99,205,110,57,99,176,107,97,53,43,70
36005030701,125,99,205,110,57,99,176,107,97,53,43,70
36005030900,125,99,205,110,57,99,176,107,97,53,43,70
36005031000,125,99,205,110,57,99,176,107,97,53,43,70
36005031200,125,99,205,110,57,99,176,107,97,53,43,70
36005031400,125,99,205,110,57,99,176,107,97,53,43,70
36005031600,125,99,205,110,57,99,176,107,97,53,43,70
36005031800,125,99,205,110,57,99,176,107,97,53,43,70
36005031900,125,99,205,110,57,99,176,107,97,53,43,70
36005032300,125,99,205,110,57,99,176,107,97,53,43,70
36005032400,125,99,205,110,57,99,176,107,97,53,43,70
36005032600,125,99,205,110,57,99,176,107,97,53,43,70
36005032800,125,99,205,110,57,99,176,107,97,53,43,70
36005033000,125,99,205,110,57,99,176,107,97,53,43,70
36005033201,125,99,205,110,57,99,176,107,97,53,43,70
36005033202,125,99,205,110,57,99,176,107,97,53,43,70
36005033400,125,99,205,110,57,99,176,107,97,53,43,70
36005033500,125,99,205,110,57,99,176,107,97,53,43,70
36005033600,125,99,205,110,57,99,176,107,97,53,43,70
36005033700,125,99,205,110,57,99,176,107,97,53,43,70
36005033800,125,99,205,110,57,99,176,107,97,53,43,70
36005034000,125,99,205,110,57,99,176,107,97,53,43,70
36005034200,125,99,205,110,57,99,176,107,97,53,43,70
36005034300,125,99,205,110,57,99,176,107,97,53,43,70
36005034400,125,99,205,110,57,99,176,107,97,53,43,70
36005034500,125,99,205,110,57,99,176,107,97,53,43,70
36005034800,125,99,205,110,57,99,176,107,97,53,43,70
36005035000,125,99,205,110,57,99,176,107,97,53,43,70
36005035100,125,99,205,110,57,99,176,107,97,53,43,70
36005035600,125,99,205,110,57,99,176,107,97,53,43,70
36005035800,125,99,205,110,57,99,176,107,97,53,43,70
36005035900,125,99,205,110,57,99,176,107,97,53,43,70
36005036000,125,99,205,110,57,99,176,107,97,53,43,70
36005036100,125,99,205,110,57,99,176,107,97,53,43,70
36005036300,125,99,205,110,57,99,176,107,97,53,43,70
36005036400,125,99,205,110,57,99,176,107,97,53,43,70
36005036501,125,99,205,110,57,99,176,107,97,53,43,70
36005036502,125,99,205,110,57,99,176,107,97,53,43,70
36005036700,125,99,205,110,57,99,176,107,97,53,43,70
36005036800,125,99,205,110,57,99,176,107,97,53,43,70
36005036901,125,99,205,110,57,99,176,107,97,53,43,70
36005036902,125,99,205,110,57,99,176,107,97,53,43,70
36005037000,125,99,205,110,57,99,176,107,97,53,43,70
36005037100,125,99,205,110,57,99,176,107,97,53,43,70
36005037200,125,99,205,110,57,99,176,107,97,53,43,70
36005037300,125,99,205,110,57,99,176,107,97,53,43,70
36005037400,125,99,205,110,57,99,176,107,97,53,43,70
36005037504,125,99,205,110,57,99,176,107,97,53,43,70
36005037600,125,99,205,110,57,99,176,107,97,53,43,70
36005037800,125,99,205,110,57,99,176,107,97,53,43,70
36005037900,125,99,205,110,57,99,176,107,97,53,43,70
36005038000,125,99,205,110,57,99,176,107,97,53,43,70
36005038100,125,99,205,110,57,99,176,107,97,53,43,70
36005038200,125,99,205,110,57,99,176,107,97,53,43,70
36005038301,125,99,205,110,57,99,176,107,97,53,43,70
36005038302,125,99,205,110,57,99,176,107,97,53,43,70
36005038500,125,99,205,110,57,99,176,107,97,53,43,70
36005038600,125,99,205,110,57,99,176,107,97,53,43,70
36005038700,125,99,205,110,57,99,176,107,97,53,43,70
36005038800,125,99,205,110,57,99,176,107,97,53,43,70
36005038900,125,99,205,110,57,99,176,107,97,53,43,70
36005039000,125,99,205,110,57,99,176,107,97,53,43,70
36005039100,125,99,205,110,57,99,176,107,97,53,43,70
36005039200,125,99,205,110,57,99,176,107,97,53,43,70
36005039300,125,99,205,110,57,99,176,107,97,53,43,70
36005039400,125,99,205,110,57,99,176,107,97,53,43,70
36005039500,125,99,205,110,57,99,176,107,97,53,43,70
36005039600,125,99,205,110,57,99,176,107,97,53,43,70
36005039700,125,99,205,110,57,99,176,107,97,53,43,70
36005039800,125,99,205,110,57,99,176,107,97,53,43,70
36005039901,125,99,205,110,57,99,176,107,97,53,43,70
36005039902,125,99,205,110,57,99,176,107,97,53,43,70
36005040100,125,99,205,110,57,99,176,107,97,53,43,70
36005040302,125,99,205,110,57,99,176,107,97,53,43,70
36005040303,125,99,205,110,57,99,176,107,97,53,43,70
36005040304,125,99,205,110,57,99,176,107,97,53,43,70
36005040400,125,99,205,110,57,99,176,107,97,53,43,70
36005040501,125,99,205,110,57,99,176,107,97,53,43,70
36005040502,125,99,205,110,57,99,176,107,97,53,43,70
36005040600,125,99,205,110,57,99,176,107,97,53,43,70
36005040701,125,99,205,110,57,99,176,107,97,53,43,70
36005040702,125,99,205,110,57,99,176,107,97,53,43,70
36005040800,125,99,205,110,57,99,176,107,97,53,43,70
36005040900,125,99,205,110,57,99,176,107,97,53,43,70
36005041100,125,99,205,110,57,99,176,107,97,53,43,70
36005041300,125,99,205,110,57,99,176,107,97,53,43,70
36005041400,125,99,205,110,57,99,176,107,97,53,43,70
36005041500,125,99,205,110,57,99,176,107,97,53,43,70
36005041800,125,99,205,110,57,99,176,107,97,53,43,70
36005041900,125,99,205,110,57,99,176,107,97,53,43,70
36005042000,125,99,205,110,57,99,176,107,97,53,43,70
36005042100,125,99,205,110,57,99,176,107,97,53,43,70
36005042200,125,99,205,110,57,99,176,107,97,53,43,70
36005042300,125,99,205,110,57,99,176,107,97,53,43,70
36005042400,125,99,205,110,57,99,176,107,97,53,43,70
36005042500,125,99,205,110,57,99,176,107,97,53,43,70
36005042600,125,99,205,110,57,99,176,107,97,53,43,70
36005042800,125,99,205,110,57,99,176,107,97,53,43,70
36005042901,125,99,205,110,57,99,176,107,97,53,43,70
36005042902,125,99,205,110,57,99,176,107,97,53,43,70
36005043000,125,99,205,110,57,99,176,107,97,53,43,70
36005043100,125,99,205,110,57,99,176,107,97,53,43,70
36005043400,125,99,205,110,57,99,176,107,97,53,43,70
36005043500,125,99,205,110,57,99,176,107,97,53,43,70
36005043600,125,99,205,110,57,99,176,107,97,53,43,70
36005044200,125,99,205,110,57,99,176,107,97,53,43,70
36005044400,125,99,205,110,57,99,176,107,97,53,43,70
36005044800,125,99,205,110,57,99,176,107,97,53,43,70
36005044901,125,99,205,110,57,99,176,107,97,53,43,70
36005044902,125,99,205,110,57,99,176,107,97,53,43,70
36005045101,125,99,205,110,57,99,176,107,97,53,43,70
36005045102,125,99,205,110,57,99,176,107,97,53,43,70
36005045600,125,99,205,110,57,99,176,107,97,53,43,70
36005045800,125,99,205,110,57,99,176,107,97,53,43,70
36005046000,125,99,205,110,57,99,176,107,97,53,43,70
36005046201,125,99,205,110,57,99,176,107,97,53,43,70
36005046202,125,99,205,110,57,99,176,107,97,53,43,70
36005048400,125,99,205,110,57,99,176,107,97,53,43,70
36005050400,125,99,205,110,57,99,176,107,97,53,43,70
36005051600,125,99,205,110,57,99,176,107,97,53,43,70
36047000100,212,145,166,105,66,152,171,89,117,44,57,73
36047000200,212,145,166,105,66,152,171,89,117,44,57,73
36047000301,212,145,166,105,66,152,171,89,117,44,57,73
36047000501,212,145,166,105,66,152,171,89,117,44,57,73
36047000502,212,145,166,105,66,152,171,89,117,44,57,73
